time,open,high,low,close,tick_volume,spread,real_volume
2026-07-22 06:50:00,4132.68,4132.74,4130.64,4131.08,1216,8,0
2026-07-22 06:55:00,4131.08,4131.72,4129.94,4130.84,1133,16,0
2026-07-22 07:00:00,4130.84,4131.19,4126.43,4128.28,1575,8,0
2026-07-22 07:05:00,4128.28,4130.47,4127.58,4128.0,1084,8,0
2026-07-22 07:10:00,4128.0,4128.44,4126.21,4126.92,1244,8,0
2026-07-22 07:15:00,4126.92,4129.59,4126.84,4128.01,979,16,0
2026-07-22 07:20:00,4127.94,4129.35,4127.57,4128.76,968,13,0
2026-07-22 07:25:00,4128.76,4128.91,4127.51,4128.75,934,12,0
2026-07-22 07:30:00,4128.75,4129.01,4124.93,4126.68,1050,15,0
2026-07-22 07:35:00,4126.68,4126.8,4124.6,4126.19,1060,9,0
2026-07-22 07:40:00,4126.19,4127.61,4126.17,4127.26,956,13,0
2026-07-22 07:45:00,4127.26,4127.63,4125.32,4126.23,1208,14,0
2026-07-22 07:50:00,4126.23,4126.97,4125.16,4125.93,1040,8,0
2026-07-22 07:55:00,4125.93,4127.18,4125.37,4126.98,955,12,0
2026-07-22 08:00:00,4127.0,4129.23,4125.87,4128.34,1270,17,0
2026-07-22 08:05:00,4128.34,4129.12,4126.44,4127.14,1195,14,0
2026-07-22 08:10:00,4127.12,4129.95,4127.02,4128.48,989,10,0
2026-07-22 08:15:00,4128.46,4128.65,4123.11,4124.01,1653,8,0
2026-07-22 08:20:00,4124.01,4124.74,4123.12,4124.31,1188,16,0
2026-07-22 08:25:00,4124.31,4126.38,4123.34,4123.69,1343,8,0
2026-07-22 08:30:00,4123.72,4128.78,4122.95,4127.5,2560,8,0
2026-07-22 08:35:00,4127.5,4133.95,4127.15,4132.52,2076,9,0
2026-07-22 08:40:00,4132.51,4133.18,4130.08,4132.41,2007,8,0
2026-07-22 08:45:00,4132.44,4133.2,4130.13,4131.92,2222,11,0
2026-07-22 08:50:00,4131.92,4132.85,4129.06,4129.52,1880,16,0
2026-07-22 08:55:00,4129.54,4131.43,4127.82,4130.98,1547,10,0
2026-07-22 09:00:00,4130.98,4135.26,4130.91,4134.23,2116,8,0
2026-07-22 09:05:00,4134.24,4134.24,4130.47,4130.66,1765,7,0
2026-07-22 09:10:00,4130.72,4132.35,4129.35,4129.79,1496,8,0
2026-07-22 09:15:00,4129.76,4131.89,4129.11,4130.39,1492,9,0
2026-07-22 09:20:00,4130.39,4130.67,4124.26,4125.07,1833,8,0
2026-07-22 09:25:00,4125.02,4125.29,4113.8,4117.32,2553,9,0
2026-07-22 09:30:00,4117.39,4119.27,4114.55,4119.24,2532,8,0
2026-07-22 09:35:00,4119.28,4120.3,4116.45,4117.34,1924,8,0
2026-07-22 09:40:00,4117.34,4120.16,4116.98,4118.76,1538,8,0
2026-07-22 09:45:00,4118.71,4120.7,4116.99,4117.64,1749,7,0
2026-07-22 09:50:00,4117.63,4117.64,4114.23,4116.41,1803,8,0
2026-07-22 09:55:00,4116.38,4117.03,4113.25,4116.32,1790,11,0
2026-07-22 10:00:00,4116.31,4117.31,4111.77,4112.5,2205,8,0
2026-07-22 10:05:00,4112.8,4115.63,4112.31,4113.4,1988,8,0
2026-07-22 10:10:00,4113.4,4116.44,4112.42,4116.39,1842,7,0
2026-07-22 10:15:00,4116.17,4119.06,4115.91,4118.84,1449,7,0
2026-07-22 10:20:00,4118.85,4122.49,4117.86,4117.86,1459,7,0
2026-07-22 10:25:00,4117.84,4120.06,4117.7,4119.64,1559,13,0
2026-07-22 10:30:00,4119.55,4123.08,4118.17,4118.19,1957,7,0
2026-07-22 10:35:00,4118.19,4118.39,4114.91,4114.93,1922,14,0
2026-07-22 10:40:00,4114.93,4115.27,4110.87,4112.26,2075,12,0
2026-07-22 10:45:00,4112.24,4113.65,4109.62,4110.17,1928,7,0
2026-07-22 10:50:00,4110.15,4114.11,4109.6,4114.06,1960,8,0
2026-07-22 10:55:00,4114.03,4114.37,4109.2,4110.56,1992,8,0
2026-07-22 11:00:00,4110.58,4115.27,4110.5,4114.98,2465,8,0
2026-07-22 11:05:00,4114.86,4115.86,4113.53,4114.5,2147,9,0
2026-07-22 11:10:00,4114.5,4116.07,4112.35,4114.66,2060,9,0
2026-07-22 11:15:00,4114.67,4115.49,4113.35,4114.81,2189,11,0
2026-07-22 11:20:00,4114.91,4117.83,4114.79,4116.85,1752,8,0
2026-07-22 11:25:00,4116.83,4117.69,4115.35,4117.47,2049,8,0
2026-07-22 11:30:00,4117.46,4119.11,4116.49,4117.91,1963,8,0
2026-07-22 11:35:00,4117.91,4118.56,4116.58,4116.73,1785,8,0
2026-07-22 11:40:00,4116.75,4117.41,4114.09,4114.53,1753,8,0
2026-07-22 11:45:00,4114.67,4116.3,4113.33,4114.64,1918,8,0
2026-07-22 11:50:00,4114.64,4117.76,4113.62,4117.52,1830,8,0
2026-07-22 11:55:00,4117.54,4120.16,4117.46,4118.31,1415,8,0
2026-07-22 12:00:00,4118.29,4120.52,4117.74,4119.91,1826,7,0
2026-07-22 12:05:00,4119.89,4122.21,4117.95,4119.95,1561,8,0
2026-07-22 12:10:00,4119.98,4122.2,4119.57,4121.69,1528,8,0
